"filename", "language", "JavaScript", "JavaScript React", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\kursinis_darbas\draughts-app\src\App\App.jsx", "JavaScript React", 0, 10, 0, 0, 0, 0, 3, 13
"c:\kursinis_darbas\draughts-app\src\App\App.module.scss", "SCSS", 0, 0, 0, 12, 0, 0, 3, 15
"c:\kursinis_darbas\draughts-app\src\App\api\config\axiosInstance.js", "JavaScript", 9, 0, 0, 0, 0, 0, 4, 13
"c:\kursinis_darbas\draughts-app\src\App\api\config\setupInterceptors.js", "JavaScript", 44, 0, 0, 0, 0, 0, 10, 54
"c:\kursinis_darbas\draughts-app\src\App\api\services\authVerify.js", "JavaScript", 21, 0, 0, 0, 0, 0, 7, 28
"c:\kursinis_darbas\draughts-app\src\App\assets\background\background.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\kursinis_darbas\draughts-app\src\App\assets\icons\close_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\kursinis_darbas\draughts-app\src\App\components\checker\checker.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 3, 15
"c:\kursinis_darbas\draughts-app\src\App\components\clock\clock.jsx", "JavaScript React", 0, 31, 0, 0, 0, 0, 10, 41
"c:\kursinis_darbas\draughts-app\src\App\components\clock\clock.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\kursinis_darbas\draughts-app\src\App\components\createGameForm\createGameForm.jsx", "JavaScript React", 0, 79, 0, 0, 0, 0, 10, 89
"c:\kursinis_darbas\draughts-app\src\App\components\createGameForm\createGameForm.module.scss", "SCSS", 0, 0, 0, 55, 0, 1, 5, 61
"c:\kursinis_darbas\draughts-app\src\App\components\draughtsBoard\DraughtsBoard.jsx", "JavaScript React", 0, 294, 0, 0, 0, 9, 50, 353
"c:\kursinis_darbas\draughts-app\src\App\components\draughtsBoard\DraughtsBoard.module.scss", "SCSS", 0, 0, 0, 9, 0, 0, 1, 10
"c:\kursinis_darbas\draughts-app\src\App\components\game\Game.jsx", "JavaScript React", 0, 35, 0, 0, 0, 0, 10, 45
"c:\kursinis_darbas\draughts-app\src\App\components\header\header.jsx", "JavaScript React", 0, 17, 0, 0, 0, 0, 2, 19
"c:\kursinis_darbas\draughts-app\src\App\components\header\header.module.scss", "SCSS", 0, 0, 0, 3, 0, 0, 1, 4
"c:\kursinis_darbas\draughts-app\src\App\components\loading\loading.jsx", "JavaScript React", 0, 20, 0, 0, 0, 0, 3, 23
"c:\kursinis_darbas\draughts-app\src\App\components\loading\loading.module.scss", "SCSS", 0, 0, 0, 81, 0, 0, 1, 82
"c:\kursinis_darbas\draughts-app\src\App\components\loginForm\loginForm.jsx", "JavaScript React", 0, 108, 0, 0, 0, 0, 15, 123
"c:\kursinis_darbas\draughts-app\src\App\components\loginForm\loginForm.module.scss", "SCSS", 0, 0, 0, 66, 0, 1, 6, 73
"c:\kursinis_darbas\draughts-app\src\App\components\message\messageBox.jsx", "JavaScript React", 0, 16, 0, 0, 0, 0, 4, 20
"c:\kursinis_darbas\draughts-app\src\App\components\message\messageBox.module.scss", "SCSS", 0, 0, 0, 30, 0, 0, 1, 31
"c:\kursinis_darbas\draughts-app\src\App\components\navbar\navbar.jsx", "JavaScript React", 0, 72, 0, 0, 0, 0, 4, 76
"c:\kursinis_darbas\draughts-app\src\App\components\navbar\navbar.module.scss", "SCSS", 0, 0, 0, 111, 0, 0, 18, 129
"c:\kursinis_darbas\draughts-app\src\App\components\playerGameInfo\playerGameInfo.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 2, 15
"c:\kursinis_darbas\draughts-app\src\App\components\playerGameInfo\playerGameInfo.module.scss", "SCSS", 0, 0, 0, 17, 0, 0, 2, 19
"c:\kursinis_darbas\draughts-app\src\App\components\registerForm\registerForm.jsx", "JavaScript React", 0, 130, 0, 0, 0, 0, 17, 147
"c:\kursinis_darbas\draughts-app\src\App\components\registerForm\registerForm.module.scss", "SCSS", 0, 0, 0, 66, 0, 1, 6, 73
"c:\kursinis_darbas\draughts-app\src\App\components\table\table.jsx", "JavaScript React", 0, 92, 0, 0, 0, 0, 9, 101
